Unnamed: 0,text,embedding,similarities
1,Obstaranie dlhodobého hmotného majetku prieskumné geologické geodetické a projektové práce umelecké diela otvárky nových lomov pieskovní a hlinísk technickú rekultiváciu dopravné montážne práce a clo,"[-0.00720608 -0.00192284  0.02054132 ... -0.00097721 -0.00826971
 -0.0006066 ]",0.7576601801971878
2,Pokladnica,"[ 0.00014575 -0.01386184  0.01005535 ...  0.00278341  0.00627485
 -0.02364437]",0.7526518589719318
11,Opravy a udržiavanie práca  obnova údržba,"[-0.00513571  0.00161023 -0.00339873 ...  0.0028181  -0.00913961
  0.01735021]",0.7478799239593424
8,Spotreba materiálu náhradne súčiastky diely pri opravách  prevádzkové látky oleje  spotreba materiálu vo výrobe vrátený materiál použítý tovar Spotreba paliva plynov aj materiálov predaj materiálu spotreba materiálu,"[ 0.00253148 -0.01167132 -0.01469099 ... -0.00426763 -0.01000306
  0.00173453]",0.7466788266394149
14,Ostatné služby sporostredkovateľská činnosť poredenstvo auditorská činnosť vedenie účtovníctva nájomné prepravné odvoz telekomunikačné služby upratovanie,"[-0.00100088 -0.00276329  0.00584124 ...  0.01008911  0.00191974
 -0.00895099]",0.7455519433152485
13,Náklady na reprezentáciu reklamné predmety teambuilding pohostenie obchodnych partnerov dary,"[-0.01118831 -0.02057635  0.02322604 ... -0.01456699 -0.0153657
 -0.01625316]",0.7446791190791945
3,Ceniny poštové známky kolky telefónne karty stravné listky príspevok na stravovanie karty na tankovanie,"[-0.00793726  0.01327804  0.01628584 ...  0.0031749  -0.00376939
 -0.02447375]",0.7434344402929105
12,Cestovné tuzemské a zahranične cesty náhrady za ubytovanie parkovné taxi strava autobus vlaky pohonné hmoty letenka,"[ 0.00645663 -0.00291399  0.03204903 ... -0.00658173 -0.01812861
 -0.01272724]",0.7408908585288514
5,Odberatelia vydana faktura uhrada  predaj,"[-0.00602257 -0.01379472 -0.02446712 ...  0.00554817  0.01253637
  0.0130276 ]",0.740663720158146
7,Daň z pridanej hodnoty dane  DPH  preplatok DPH samozdanenie faktúra,"[ 0.00304872  0.01352068  0.0088147  ... -0.00159409 -0.00278946
 -0.01961155]",0.7378510378817291
9,Spotreba energie vodné stočné externé dodávky elektrickej energie plynu pary vody,"[ 0.00191041 -0.01571735  0.00432392 ... -0.02068904 -0.01457308
  0.00429761]",0.7364466715137004
0,Obstaranie dlhodobého nehmotného majetku nehmotný substrát softver licencie,"[ 0.00585715 -0.02639192  0.01147618 ...  0.00126503  0.01298429
  0.00311709]",0.7351157879674673
17,Tržby za tovar predaj pri vystavenej fakture,"[ 0.00606933 -0.01803387  0.00239829 ...  0.01135348  0.00744657
 -0.01476649]",0.7326115390910433
6,Dodávatelia nákup zúčtovanie vyúčtovanie prijatá dodavatelska faktúra,"[-0.0112915  -0.01032255 -0.0026194  ...  0.00275505 -0.00148169
 -0.00657271]",0.7285994406565802
18,Tržby z predaja dlhodobého nehmotného majetku a dlhodobého hmotného majetku,"[-0.01797719 -0.02272993  0.02537734 ...  0.00477165  0.00593462
 -0.01675434]",0.7280913667092727
10,Predaný tovar sklad výdaj tovaru tovar na ceste obstaranie tovaru úbytok tovaru,"[ 0.00618827 -0.01901809 -0.00650725 ... -0.01160426  0.00032045
  0.00554359]",0.7278174166953042
16,Tržby z predaja služieb vykonanie prace a služby poskytnuté služby,"[-0.00948557 -0.02639353  0.00550291 ... -0.00691137 -0.02417065
 -0.01174678]",0.7263715286548885
4,Bankové účty bankový výpis pohyb peňazí prevod bankový prevod,"[-0.03332287 -0.03545428  0.02607086 ... -0.01097549 -0.00235236
 -0.01347731]",0.7219461423152699
19,Tržby z predaja materiálu,"[-0.00095045 -0.02170817 -0.00605213 ... -0.00184481 -0.00384349
 -0.00739847]",0.7202073058762734
15,Tržby za vlastné výrobky vyrobky,"[ 0.00070157 -0.00095925  0.00996094 ... -0.00688626  0.00612394
  0.00201696]",0.7113559153010063
